epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,389.705,0.41589,0.82288,1,0.44722,0.000553814,0.000553814,0.000553814
2,647.993,0.36033,0.60616,1,1.12527,0.00107287,0.00107287,0.00107287
3,963.563,0.36472,0.71507,1,0.61184,0.00155525,0.00155525,0.00155525
4,1230.58,0.33407,0.83058,1,0.40236,0.00150197,0.00150197,0.00150197
5,1727.52,0.32063,0.72937,1,0.50543,0.00144696,0.00144696,0.00144696
6,2168.13,0.28456,0.76788,1,0.48557,0.00139195,0.00139195,0.00139195
7,2807.75,0.30244,0.85699,1,0.36713,0.00133693,0.00133693,0.00133693
8,3165.62,0.27805,0.76348,1,0.51216,0.00128192,0.00128192,0.00128192
9,4079.06,0.27723,0.66557,1,0.63205,0.00122691,0.00122691,0.00122691
10,4569.76,0.26457,0.74917,1,0.59638,0.0011719,0.0011719,0.0011719
11,5283.63,0.24476,0.63256,1,1.11824,0.00111689,0.00111689,0.00111689
12,5958.36,0.24838,0.76128,1,0.59869,0.00106188,0.00106188,0.00106188
13,6559.03,0.23391,0.81958,1,0.40387,0.00100687,0.00100687,0.00100687
14,7214.53,0.22111,0.81298,1,0.48901,0.000951857,0.000951857,0.000951857
15,7579.59,0.22681,0.83058,1,0.41753,0.000896846,0.000896846,0.000896846
16,7922.77,0.20998,0.82618,1,0.44184,0.000841835,0.000841835,0.000841835
17,8223.38,0.20424,0.61606,1,1.60917,0.000786824,0.000786824,0.000786824
18,8509.93,0.20932,0.76348,1,0.62531,0.000731813,0.000731813,0.000731813
19,8835.43,0.19747,0.82178,1,0.44523,0.000676802,0.000676802,0.000676802
20,9161.91,0.18648,0.84048,1,0.50868,0.000621791,0.000621791,0.000621791
21,9493.39,0.19012,0.72277,1,0.72699,0.00056678,0.00056678,0.00056678
22,9807,0.18563,0.76568,1,0.67709,0.000511769,0.000511769,0.000511769
23,10134.5,0.16008,0.82398,1,0.53195,0.000456758,0.000456758,0.000456758
24,10463.3,0.15801,0.79868,1,0.65816,0.000401747,0.000401747,0.000401747
25,10734.7,0.16361,0.78438,1,0.62896,0.000346736,0.000346736,0.000346736
26,11095.5,0.16056,0.77448,1,0.76969,0.000291725,0.000291725,0.000291725
27,11373.8,0.15747,0.81518,1,0.52312,0.000236714,0.000236714,0.000236714
28,11706.8,0.15136,0.84378,1,0.46534,0.000181703,0.000181703,0.000181703
29,12019.2,0.13722,0.83828,1,0.50906,0.000126692,0.000126692,0.000126692
30,12319.9,0.13379,0.82288,1,0.53578,7.1681e-05,7.1681e-05,7.1681e-05
