epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,113.091,0.45201,0.78768,1,0.48263,0.000553814,0.000553814,0.000553814
2,199.652,0.35688,0.65237,1,0.72432,0.00108751,0.00108751,0.00108751
3,371.088,0.35208,0.83718,1,0.42188,0.00159921,0.00159921,0.00159921
4,566.153,0.34229,0.63256,1,0.7692,0.00156798,0.00156798,0.00156798
5,1538.77,0.32841,0.80638,1,0.48635,0.00153497,0.00153497,0.00153497
6,5381.53,0.31074,0.58636,1,0.85598,0.00150197,0.00150197,0.00150197
7,5547.91,0.30417,0.81628,1,0.4331,0.00146896,0.00146896,0.00146896
8,5829.84,0.28977,0.78218,1,0.53597,0.00143595,0.00143595,0.00143595
9,6083.01,0.2736,0.80528,1,0.3965,0.00140295,0.00140295,0.00140295
10,6299.79,0.26549,0.69087,1,0.59281,0.00136994,0.00136994,0.00136994
11,6530.73,0.26033,0.72827,1,0.54249,0.00133693,0.00133693,0.00133693
12,6774.37,0.26496,0.75138,1,0.61145,0.00130393,0.00130393,0.00130393
13,7028.06,0.25969,0.78548,1,0.47916,0.00127092,0.00127092,0.00127092
14,10116.4,0.24368,0.80858,1,0.46071,0.00123791,0.00123791,0.00123791
15,10311.6,0.24109,0.81408,1,0.45547,0.00120491,0.00120491,0.00120491
16,10552.2,0.24037,0.78438,1,0.44374,0.0011719,0.0011719,0.0011719
17,10792,0.22935,0.70847,1,0.72728,0.00113889,0.00113889,0.00113889
18,11032.7,0.2397,0.73377,1,0.60335,0.00110589,0.00110589,0.00110589
19,11266.3,0.22186,0.71837,1,0.58379,0.00107288,0.00107288,0.00107288
20,11427.3,0.22026,0.81738,1,0.47644,0.00103987,0.00103987,0.00103987
21,11584.7,0.22658,0.82068,1,0.48783,0.00100687,0.00100687,0.00100687
22,11745.2,0.21158,0.75908,1,0.51164,0.000973861,0.000973861,0.000973861
23,11895,0.20653,0.71837,1,0.71985,0.000940855,0.000940855,0.000940855
24,12049.6,0.20771,0.74697,1,0.83229,0.000907848,0.000907848,0.000907848
25,12175.9,0.21295,0.77338,1,0.60037,0.000874842,0.000874842,0.000874842
26,12311.1,0.19717,0.73267,1,0.7313,0.000841835,0.000841835,0.000841835
27,12459.9,0.20695,0.76678,1,0.56206,0.000808828,0.000808828,0.000808828
28,12604.8,0.20301,0.80418,1,0.56736,0.000775822,0.000775822,0.000775822
