epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.13639,0,0,115.692,0,0,0,0,0,0,0,0,0,0,0,134.641,0,0.00036,0.00036,0.00036
2,10.3903,0,0,92.9125,0,0,0,0,0,0,0,0,0,0,0,132.371,0,0.000732674,0.000732674,0.000732674
3,14.6477,0,0,75.2967,0,0,0,0,0,0,0,0,0,0,0,236.023,0,0.00109782,0.00109782,0.00109782
4,18.7364,0,0,65.0567,0,0,0,0,0,0,0,0,0,0,0,48.6914,0,0.00145545,0.00145545,0.00145545
5,22.829,0,0,56.3902,0,0,0,0,0,0,0,0,0,0,0,44.3711,0,0.00180555,0.00180555,0.00180555
6,26.9579,0,0,50.8985,0,0,0,0,0,0,0,0,0,0,0,225.129,0,0.001901,0.001901,0.001901
7,31.027,0,0,43.1913,0,0,0,0,0,0,0,0,0,0,0,299.285,0,0.0018812,0.0018812,0.0018812
8,35.0895,0,0,36.7936,0,0,0,0,0,0,0,0,0,0,0,19.2109,0,0.0018614,0.0018614,0.0018614
9,38.967,0,0,30.8751,0,0,0,0,0,0,0,0,0,0,0,19.209,0,0.0018416,0.0018416,0.0018416
10,42.8717,0,0,26.0561,0,0,0,0,0,0,0,0,0,0,0,18.5708,0,0.0018218,0.0018218,0.0018218
11,46.8886,0,0,21.5033,0,0,0,0,0,0,0,0,0,0,0,11.3428,0,0.001802,0.001802,0.001802
12,50.8619,0,0,17.8054,0,0,0,0,0,0,0,0,0,0,0,4.09424,0,0.0017822,0.0017822,0.0017822
13,54.71,0,0,14.3723,0,0,0,0,0,0,0,0,0,0,0,0.40393,0,0.0017624,0.0017624,0.0017624
14,58.5848,0,0,11.7831,0,0,0,0,0,0,0,0,0,0,0,0.01062,0,0.0017426,0.0017426,0.0017426
15,62.438,0,0,9.40625,0,0,0,0,0,0,0,0,0,0,0,0.00854,0,0.0017228,0.0017228,0.0017228
16,66.0451,0,0,7.43846,0,0,0,0,0,0,0,0,0,0,0,0.00049,0,0.001703,0.001703,0.001703
17,69.7159,0,0,5.81875,0,0,0,0,0,0,0,0,0,0,0,0.00391,0,0.0016832,0.0016832,0.0016832
18,73.5296,0,0,4.55847,0,0,0,0,0,0,0,0,0,0,0,0.04053,0,0.0016634,0.0016634,0.0016634
19,77.3101,0,0,3.72028,0,0,0,0,0,0,0,0,0,0,0,0.02563,0,0.0016436,0.0016436,0.0016436
20,80.996,0,0,2.91625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,84.5354,0,0,2.26554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,88.1025,0,0,1.74741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,91.763,0,0,1.34244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,95.3222,0,0,1.02723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,98.9265,0,0,0.78245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,102.6,0,0,0.59015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,106.186,0,0,0.44902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,109.838,0,0,0.33089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,113.466,0,0,0.25604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,116.956,0,0,0.2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,120.608,0,0,0.17483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,124.198,0,0,0.14026,0,0,0,0,0,0,0,0,0,0,0,0.00659,0,0.0013862,0.0013862,0.0013862
33,128.185,0,0,0.1155,0,0,0,0,0,0,0,0,0,0,0,97.4136,0,0.0013664,0.0013664,0.0013664
34,134.027,0,0,0.08871,0,0,0,0,0,0,0,0,0,0,0,465.875,0,0.0013466,0.0013466,0.0013466
35,137.716,0,0,0.07507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,141.419,0,0,0.04471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,145,0,0,0.02834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,148.621,0,0,0.02424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,152.256,0,0,0.02156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,155.887,0,0,0.01852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,159.527,0,0,0.01212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,163.181,0,0,0.00797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,166.768,0,0,0.00597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,170.418,0,0,0.00507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,174.049,0,0,0.00418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,177.685,0,0,0.00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,181.269,0,0,0.00309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,184.936,0,0,0.00306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,188.502,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,192.103,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,195.699,0,0,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,199.369,0,0,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,202.911,0,0,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,206.532,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,210.266,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,213.909,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,217.479,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,221.096,0,0,0.00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,224.703,0,0,0.00297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,228.344,0,0,0.00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,231.922,0,0,0.00295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,235.569,0,0,0.00294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,239.195,0,0,0.00292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,242.81,0,0,0.00287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,246.403,0,0,0.00286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,250.008,0,0,0.00279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,253.6,0,0,0.00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,257.198,0,0,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,260.793,0,0,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,264.493,0,0,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,268.107,0,0,0.00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,271.73,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
